Distance_(pixels),Value,Y1
480,55299842048.000,55683829760.000
481,55295664128.000,55683018752.000
482,55291248640.000,55682297856.000
483,55287128064.000,55681970176.000
484,55282831360.000,55681609728.000
485,55278944256.000,55681810432.000
486,55274799104.000,55681732608.000
487,55270490112.000,55682334720.000
488,55266967552.000,55682940928.000
489,55262789632.000,55684018176.000
490,55258918912.000,55684870144.000
491,55255158784.000,55686365184.000
492,55251214336.000,55687712768.000
493,55247208448.000,55689351168.000
494,55242825728.000,55691284480.000
495,55238561792.000,55692365824.000
496,55234277376.000,55694200832.000
497,55230255104.000,55696146432.000
498,55226314752.000,55698489344.000
499,55222091776.000,55700541440.000
500,55219027968.000,55702970368.000
501,55215693824.000,55705526272.000
502,55212904448.000,55708000256.000
503,55210196992.000,55710461952.000
504,55207706624.000,55712968704.000
505,55205703680.000,55715999744.000
506,55204126720.000,55718494208.000
507,55202480128.000,55721349120.000
508,55201415168.000,55723831296.000
509,55200161792.000,55726288896.000
510,55198830592.000,55728840704.000
511,55198138368.000,55731048448.000
512,55197044736.000,55733215232.000
513,55195791360.000,55735062528.000
514,55194112000.000,55736360960.000
515,55192715264.000,55737987072.000
516,55190736896.000,55738683392.000
517,55188672512.000,55739314176.000
518,55185887232.000,55739482112.000
519,55183155200.000,55739760640.000
520,55180275712.000,55739301888.000
521,55176765440.000,55738236928.000
522,55173521408.000,55736721408.000
523,55170015232.000,55735541760.000
524,55166451712.000,55733911552.000
525,55162843136.000,55731597312.000
526,55159123968.000,55729348608.000
527,55155200000.000,55726776320.000
528,55151935488.000,55723569152.000
529,55148220416.000,55720718336.000
530,55144280064.000,55717351424.000
531,55140585472.000,55713943552.000
532,55137562624.000,55710355456.000
533,55134560256.000,55706386432.000
534,55131758592.000,55702597632.000
535,55129407488.000,55699116032.000
536,55127580672.000,55694934016.000
537,55125860352.000,55690936320.000
538,55124652032.000,55686729728.000
539,55123148800.000,55682678784.000
540,55122591744.000,55678529536.000
541,55121756160.000,55674630144.000
542,55121702912.000,55670378496.000
543,55121391616.000,55666331648.000
544,55121551360.000,55662522368.000
545,55121956864.000,55657598976.000
546,55122767872.000,55653974016.000
547,55123849216.000,55649767424.000
548,55124959232.000,55645274112.000
549,55126110208.000,55641145344.000
550,55127445504.000,55637094400.000
551,55129260032.000,55633055744.000
552,55130337280.000,55629160448.000
553,55132098560.000,55625613312.000
554,55133552640.000,55622287360.000
555,55135313920.000,55619031040.000
556,55136788480.000,55616372736.000
557,55138541568.000,55613677568.000
558,55139713024.000,55611469824.000
559,55141457920.000,55609499648.000
560,55142739968.000,55607603200.000
561,55143714816.000,55606497280.000
562,55144648704.000,55605272576.000
563,55145730048.000,55604486144.000
564,55146508288.000,55603687424.000
565,55147507712.000,55602860032.000
566,55148113920.000,55601967104.000
567,55148949504.000,55601152000.000
568,55149916160.000,55600685056.000
569,55150878720.000,55599886336.000
570,55151472640.000,55599321088.000
571,55152553984.000,55598292992.000
572,55153135616.000,55597064192.000
573,55154081792.000,55596326912.000
574,55155007488.000,55594909696.000
575,55156346880.000,55593037824.000
576,55157465088.000,55591485440.000
577,55159140352.000,55589281792.000
578,55160823808.000,55587131392.000
579,55162896384.000,55584378880.000
580,55165063168.000,55581876224.000
581,55167795200.000,55579099136.000
582,55170572288.000,55576047616.000
